ano,rede,localizacao,sigla_uf,disciplina,serie,media,nivel_0,nivel_1,nivel_2,nivel_3,nivel_4,nivel_5,nivel_6,nivel_7,nivel_8,nivel_9,nivel_10
2021,"total - federal, estadual, municipal e privada",urbana,AC,LP,5,205.42000000000002,4.87,10.66,14.11,16.76,17.490000000000002,16.16,11.31,5.5200000000000005,2.87,0.25,
2015,"total - federal, estadual, municipal e privada",total,AC,LP,5,205.79935527826149,2.4040383711758389,8.65079176095609,15.286603017564849,20.38453298994531,20.214679323829355,16.075400510758818,9.950829959992598,4.6850467838103516,1.6456670490445684,0.70241023291729343,
2003,municipal,total,AC,MT,5,205.86621512352622,0,12.058934668009295,12.058934668009295,16.192754888217586,27.3038659993287,22.222222222222232,2.5408218885532343,7.6224656656597025,0,0,0
2023,municipal,total,AC,MT,5,206.32,4.0600000000000005,10.700000000000001,16.52,18.52,16.36,13.22,9.05,5.63,3.5700000000000003,1.74,0.63
2013,total - estadual e municipal,total,AC,MT,5,206.52994141028316,3.2792079387774775,7.30577315274314,15.852526885496953,21.169950950778507,18.969215010744833,14.808748923757145,9.7900294335743023,5.368790399949753,2.2742076486366267,1.1815496555379703,0
2013,"total - federal, estadual e municipal",total,AC,MT,5,206.57158973010979,3.2722777688331219,7.2981606579275393,15.819024677825146,21.156520215593662,19.007398950130277,14.816589028509899,9.79282136403636,5.3809260312199578,2.2772286984698034,1.1790526074509173,0
2023,total - estadual e municipal,total,AC,LP,5,207.13,4.91,10.98,14.43,15.67,17.27,14.58,11.28,6.71,2.82,1.35,
2023,"total - federal, estadual e municipal",total,AC,LP,5,207.22,4.9,10.96,14.4,15.65,17.28,14.58,11.31,6.72,2.85,1.35,
2021,"total - federal, estadual, municipal e privada",total,AC,MT,5,207.33,2.13,7.67,15.94,20.64,19.990000000000002,16.12,9.56,4.94,2.37,0.61,0.03
2017,municipal,total,AC,LP,5,207.33679993823964,3.4059254878939469,9.074675221532738,14.730452719998707,17.884492400771283,19.33295466126247,16.167804418368,10.742877781987632,5.6364901347529708,2.4400736219605434,0.58425355147341707,
2015,estadual,total,AC,LP,5,207.89734703891102,1.9807372972810762,8.2066613283526184,14.387756273524351,19.599807199282605,20.865104038593003,17.488611178062033,10.24326473634078,4.89059142649039,1.697271325847151,0.64019519622708343,
2021,total - estadual e municipal,urbana,AC,MT,5,207.98000000000002,1.94,6.75,15.200000000000001,21.17,21.06,17.05,9.71,4.51,2.09,0.52,0
2021,"total - federal, estadual e municipal",urbana,AC,MT,5,208.08,1.93,6.73,15.17,21.150000000000002,21.04,17.07,9.75,4.54,2.1,0.52,0
2013,"total - federal, estadual, municipal e privada",total,AC,MT,5,208.136791054393,3.1244945260510257,7.0149713690442006,15.269152381117978,20.78753448713848,19.041113678558329,15.173521662127557,10.206400900265546,5.6379296110601818,2.3927848339070841,1.3520965507270273,0
2021,estadual,total,AC,LP,5,208.58,3.62,9.38,13.69,16.5,19.41,16.45,12.01,5.97,2.64,0.35000000000000003,
